model_id,source,input_spec,license,notes
dewarpnet,https://huggingface.co/litert-community/DewarpNet-LiteRT/resolve/main/dewarp.tflite,1x3x256x256:float32,mit,
dinov2-vit-s14,https://huggingface.co/litert-community/DINOv2-ViT-S14-LiteRT/resolve/main/dinov2_s_fp16.tflite,1x3x448x448:float32,apache-2.0,
dis-isnet,https://huggingface.co/litert-community/DIS-ISNet-LiteRT/resolve/main/dis.tflite,1x3x1024x1024:float32,apache-2.0,
dm-count-crowd,https://huggingface.co/litert-community/DM-Count-Crowd-LiteRT/resolve/main/dmcount.tflite,1x3x512x512:float32,mit,
edsr-x4,https://huggingface.co/litert-community/EDSR-x4-LiteRT/resolve/main/edsr.tflite,1x3x128x128:float32,apache-2.0,
fast-neural-style__style_candy_fp16,https://huggingface.co/litert-community/Fast-Neural-Style-LiteRT/resolve/main/style_candy_fp16.tflite,1x3x256x256:float32,bsd-3-clause,
fast-neural-style__style_mosaic_fp16,https://huggingface.co/litert-community/Fast-Neural-Style-LiteRT/resolve/main/style_mosaic_fp16.tflite,1x3x256x256:float32,bsd-3-clause,
fast-neural-style__style_rain_princess_fp16,https://huggingface.co/litert-community/Fast-Neural-Style-LiteRT/resolve/main/style_rain_princess_fp16.tflite,1x3x256x256:float32,bsd-3-clause,
fast-neural-style__style_udnie_fp16,https://huggingface.co/litert-community/Fast-Neural-Style-LiteRT/resolve/main/style_udnie_fp16.tflite,1x3x256x256:float32,bsd-3-clause,
gfpgan-v1.4__gfpgan_fp16,https://huggingface.co/litert-community/GFPGAN-v1.4-LiteRT/resolve/main/gfpgan_fp16.tflite,1x3x512x512:float32,apache-2.0,
gfpgan-v1.4__yunet_fp16,https://huggingface.co/litert-community/GFPGAN-v1.4-LiteRT/resolve/main/yunet_fp16.tflite,1x3x640x640:float32,apache-2.0,
hsemotion-b0,https://huggingface.co/litert-community/HSEmotion-B0-LiteRT/resolve/main/hsemotion_b0_fp16.tflite,1x3x224x224:float32,apache-2.0,
l2cs-gaze360,https://huggingface.co/litert-community/L2CS-Gaze360-LiteRT/resolve/main/gaze_fp16.tflite,1x3x448x448:float32,mit,
m-lsd-tiny,https://huggingface.co/litert-community/M-LSD-tiny-LiteRT/resolve/main/mlsd_fp16.tflite,1x4x512x512:float32,apache-2.0,
matcha-tts__dp_g2p_matcha_fp16,https://huggingface.co/litert-community/Matcha-TTS/resolve/main/dp_g2p_matcha_fp16.tflite,1x96:float32,mit,
matcha-tts__matcha_decoder_fp16,https://huggingface.co/litert-community/Matcha-TTS/resolve/main/matcha_decoder_fp16.tflite,1x80x512:float32;1x80x512:float32;1x160:float32;1x1x512:float32,mit,
matcha-tts__matcha_textenc_fp16,https://huggingface.co/litert-community/Matcha-TTS/resolve/main/matcha_textenc_fp16.tflite,1x256x192:float32;1x1x256:float32,mit,
matcha-tts__matcha_vocoder_fp16,https://huggingface.co/litert-community/Matcha-TTS/resolve/main/matcha_vocoder_fp16.tflite,1x80x512:float32,mit,
mi-gan-512-places2,https://huggingface.co/litert-community/MI-GAN-512-Places2-LiteRT/resolve/main/migan_fp16.tflite,1x4x512x512:float32,mit,
mimi__mimi_dec_tx_fp16,https://huggingface.co/litert-community/Mimi/resolve/main/mimi_dec_tx_fp16.tflite,1x512x25:float32,cc-by-4.0,
mimi__mimi_deconly_fp16,https://huggingface.co/litert-community/Mimi/resolve/main/mimi_deconly_fp16.tflite,1x512x50:float32,cc-by-4.0,
mimi__mimi_enc_conv_fp16,https://huggingface.co/litert-community/Mimi/resolve/main/mimi_enc_conv_fp16.tflite,1x1x48000:float32,cc-by-4.0,
mimi__mimi_enc_tx_fp16,https://huggingface.co/litert-community/Mimi/resolve/main/mimi_enc_tx_fp16.tflite,1x50x512:float32,cc-by-4.0,
modnet,https://huggingface.co/litert-community/MODNet-LiteRT/resolve/main/modnet.tflite,1x3x512x512:float32,apache-2.0,
movinet-a0-stream,https://huggingface.co/litert-community/MoViNet-A0-Stream-LiteRT/resolve/main/movinet_a0_stream.tflite,1x3x172x172:float32;1x80x22x22:float32;1x80x22x22:float32;1x80x22x22:float32;1x80x22x22:float32;1x80x22x22:float32;1x80x22x22:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x112x11x11:float32;1x112x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x184x11x11:float32;1x384x6x6:float32;1x384x6x6:float32;1x384x6x6:float32;1x384x6x6:float32;1x24x1x1:float32;1x80x1x1:float32;1x80x1x1:float32;1x80x1x1:float32;1x184x1x1:float32;1x112x1x1:float32;1x184x1x1:float32;1x184x1x1:float32;1x184x1x1:float32;1x184x1x1:float32;1x184x1x1:float32;1x384x1x1:float32;1x280x1x1:float32;1x280x1x1:float32;1x344x1x1:float32;1x480x1x1:float32;1x1x1x1:float32;1x1x1x1:float32,apache-2.0,
nafnet-gopro-width32,https://huggingface.co/litert-community/NAFNet-GoPro-width32-LiteRT/resolve/main/nafnet_fp16.tflite,1x3x256x256:float32,mit,
nafnet-sidd-width32,https://huggingface.co/litert-community/NAFNet-SIDD-width32-LiteRT/resolve/main/nafnet_sidd_width32_fp16.tflite,1x3x256x256:float32,mit,
ormbg,https://huggingface.co/litert-community/ormbg-LiteRT/resolve/main/ormbg.tflite,1x3x1024x1024:float32,apache-2.0,
panns-cnn14-audioset,https://huggingface.co/litert-community/PANNs-CNN14-AudioSet-LiteRT/resolve/main/cnn14_audioset_fp16.tflite,1x1x1001x64:float32,cc-by-4.0,
pidnet-s-cityscapes,https://huggingface.co/litert-community/PIDNet-S-Cityscapes-LiteRT/resolve/main/pidnet_s.tflite,1x3x1024x1024:float32,mit,
places365-resnet18,https://huggingface.co/litert-community/Places365-ResNet18-LiteRT/resolve/main/places_fp16.tflite,1x3x224x224:float32,mit,
plantnet-300k-resnet18,https://huggingface.co/litert-community/PlantNet-300K-ResNet18-LiteRT/resolve/main/plantnet.tflite,1x3x224x224:float32,apache-2.0,
pp-ocrv5__ppocr_det_fp16,https://huggingface.co/litert-community/PP-OCRv5-LiteRT/resolve/main/ppocr_det_fp16.tflite,1x3x640x640:float32,apache-2.0,
pp-ocrv5__ppocr_rec_fp16,https://huggingface.co/litert-community/PP-OCRv5-LiteRT/resolve/main/ppocr_rec_fp16.tflite,1x3x48x320:float32,apache-2.0,
qwen3-embedding-0.6b,https://huggingface.co/litert-community/Qwen3-Embedding-0.6B-LiteRT/resolve/main/qwen3emb_gpu_fp16.tflite,1x128x1024:float32,apache-2.0,
qwen3-reranker-0.6b,https://huggingface.co/litert-community/Qwen3-Reranker-0.6B-LiteRT/resolve/main/qwen3rerank_gpu_fp16.tflite,1x256x1024:float32,apache-2.0,
ram-plus__ram_reweight_fp16,https://huggingface.co/litert-community/RAM-Plus-LiteRT/resolve/main/ram_reweight_fp16.tflite,1x512:float32,apache-2.0,
ram-plus__ram_stage3_tail_fp16,https://huggingface.co/litert-community/RAM-Plus-LiteRT/resolve/main/ram_stage3_tail_fp16.tflite,1x144x1536:float32,apache-2.0,
ram-plus__ram_swin_s012_fp16,https://huggingface.co/litert-community/RAM-Plus-LiteRT/resolve/main/ram_swin_s012_fp16.tflite,1x3x384x384:float32,apache-2.0,
ram-plus__ram_taghead_fp16,https://huggingface.co/litert-community/RAM-Plus-LiteRT/resolve/main/ram_taghead_fp16.tflite,1x4585x768:float32;1x145x512:float32,apache-2.0,
rf-detr-nano__rfdetr_grapha_fp16,https://huggingface.co/litert-community/RF-DETR-Nano-LiteRT/resolve/main/rfdetr_graphA_fp16.tflite,1x3x384x384:float32,apache-2.0,
rf-detr-nano__rfdetr_graphb_fp16,https://huggingface.co/litert-community/RF-DETR-Nano-LiteRT/resolve/main/rfdetr_graphB_fp16.tflite,1x576x256:float32;1x300x4:float32,apache-2.0,
rt-detrv2-s__rtdetr_grapha_fp16,https://huggingface.co/litert-community/RT-DETRv2-S-LiteRT/resolve/main/rtdetr_graphA_fp16.tflite,1x3x640x640:float32,apache-2.0,
rt-detrv2-s__rtdetr_graphb_fp16,https://huggingface.co/litert-community/RT-DETRv2-S-LiteRT/resolve/main/rtdetr_graphB_fp16.tflite,1x8400x256:float32;1x300x256:float32;1x300x4:float32,apache-2.0,
rtmpose-animal-ap10k,https://huggingface.co/litert-community/RTMPose-Animal-AP10K-LiteRT/resolve/main/rtm_animal_fp16.tflite,1x3x256x256:float32,apache-2.0,
rtmpose-face-wflw,https://huggingface.co/litert-community/RTMPose-Face-WFLW-LiteRT/resolve/main/rtm_face_fp16.tflite,1x3x256x256:float32,apache-2.0,
rtmpose-hand,https://huggingface.co/litert-community/RTMPose-Hand-LiteRT/resolve/main/rtmhand_fp16.tflite,1x3x256x256:float32,apache-2.0,
rtmpose-s,https://huggingface.co/litert-community/RTMPose-s-LiteRT/resolve/main/rtmpose_s_fp16.tflite,1x3x256x192:float32,apache-2.0,
rtmw-m-wholebody,https://huggingface.co/litert-community/RTMW-m-WholeBody-LiteRT/resolve/main/rtmw_fp16.tflite,1x3x256x192:float32,apache-2.0,
rwkv-7-world-0.1b,https://huggingface.co/litert-community/RWKV-7-World-0.1B-LiteRT/resolve/main/rwkv7_step_fp16.tflite,1x768:float32;12x768:float32;12x768:float32;144x64x64:float32,apache-2.0,
silent-face-anti-spoofing,https://huggingface.co/litert-community/Silent-Face-Anti-Spoofing-LiteRT/resolve/main/silentface.tflite,1x3x80x80:float32,apache-2.0,
sinet-v2-camouflage,https://huggingface.co/litert-community/SINet-V2-Camouflage-LiteRT/resolve/main/sinet.tflite,1x3x352x352:float32,apache-2.0,
speaker-diarization,https://huggingface.co/litert-community/Speaker-Diarization-LiteRT/resolve/main/wespeaker_emb_fp16.tflite,1x500x80:float32,mit,
tiger-dnr__tiger_dialog_fp16,https://huggingface.co/litert-community/TIGER-DnR-LiteRT/resolve/main/tiger_dialog_fp16.tflite,1x534016:float32,apache-2.0,
tiger-dnr__tiger_effect_fp16,https://huggingface.co/litert-community/TIGER-DnR-LiteRT/resolve/main/tiger_effect_fp16.tflite,1x534016:float32,apache-2.0,
tiger-dnr__tiger_music_fp16,https://huggingface.co/litert-community/TIGER-DnR-LiteRT/resolve/main/tiger_music_fp16.tflite,1x534016:float32,apache-2.0,
twinlitenet,https://huggingface.co/litert-community/TwinLiteNet-LiteRT/resolve/main/twinlite.tflite,1x3x360x640:float32,mit,
u2net-portrait-sketch,https://huggingface.co/litert-community/U2Net-Portrait-Sketch-LiteRT/resolve/main/portrait.tflite,1x3x512x512:float32,apache-2.0,
ultra-fast-lane-detection,https://huggingface.co/litert-community/Ultra-Fast-Lane-Detection-LiteRT/resolve/main/ufld.tflite,1x3x288x800:float32,mit,
unisal-saliency,https://huggingface.co/litert-community/UniSal-Saliency-LiteRT/resolve/main/unisal_fp16.tflite,1x3x256x256:float32,apache-2.0,
vision-rwkv-s,https://huggingface.co/litert-community/Vision-RWKV-S-LiteRT/resolve/main/vrwkv_s_fp16.tflite,1x3x224x224:float32;1x1x196x196:float32,apache-2.0,
wav2vec2-keyword-spotting__w2v2_frontend_fp16,https://huggingface.co/litert-community/wav2vec2-keyword-spotting/resolve/main/w2v2_frontend_fp16.tflite,1x16000:float32,apache-2.0,
wav2vec2-keyword-spotting__w2v2_head_fp16,https://huggingface.co/litert-community/wav2vec2-keyword-spotting/resolve/main/w2v2_head_fp16.tflite,1x49x768:float32,apache-2.0,
xfeat__xfeat,https://huggingface.co/litert-community/xfeat-litert/resolve/main/xfeat.tflite,1x480x640x1:float32,apache-2.0,
xfeat__xfeat_fp16,https://huggingface.co/litert-community/xfeat-litert/resolve/main/xfeat_fp16.tflite,1x1x480x640:float32,apache-2.0,
yolact-resnet50,https://huggingface.co/litert-community/YOLACT-ResNet50-LiteRT/resolve/main/yolact.tflite,1x3x550x550:float32,mit,
yunet-face,https://huggingface.co/litert-community/YuNet-Face-LiteRT/resolve/main/yunet_fp16.tflite,1x3x640x640:float32,bsd-3-clause,
depth-anything-3-small,https://huggingface.co/litert-community/Depth-Anything-3-Small/resolve/main/da3_small_gpu_fp16.tflite,1x3x896x504:float32,apache-2.0,
granite-embedding-311m-multilingual-r2__granite-embedding-311m-r2_fp16,https://huggingface.co/litert-community/granite-embedding-311m-multilingual-r2/resolve/main/granite-embedding-311m-r2_fp16.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
granite-embedding-311m-multilingual-r2__granite-embedding-311m-r2_wi8fc,https://huggingface.co/litert-community/granite-embedding-311m-multilingual-r2/resolve/main/granite-embedding-311m-r2_wi8fc.tflite,1x512:int32;1x512:int32,apache-2.0,multi-signature model (4 subgraphs); harness runs subgraph 0
kokoro-82m__kokoro_prosody,https://huggingface.co/litert-community/Kokoro-82M/resolve/main/kokoro_prosody.tflite,1x128x640:float32;1x512x128:float32;1x128x512:float32;1x256:float32;1x512:float32,apache-2.0,
kokoro-82m__kokoro_vocoder,https://huggingface.co/litert-community/Kokoro-82M/resolve/main/kokoro_vocoder.tflite,1x512x512:float32;1x1024:float32;1x1024:float32;1x22x61441:float32;1x256:float32;1x512:float32,apache-2.0,
kokoro-g2p-en-us,https://huggingface.co/litert-community/Kokoro-G2P-en-US/resolve/main/dp_g2p_litert.tflite,1x96:float32,mit,
lfm2.5-embedding-350m__lfm2.5-embedding-350m_fp16,https://huggingface.co/litert-community/LFM2.5-Embedding-350M/resolve/main/LFM2.5-Embedding-350M_fp16.tflite,1x512:int32;1x512:int32,other,multi-signature model (4 subgraphs); harness runs subgraph 0
lfm2.5-embedding-350m__lfm2.5-embedding-350m_wi8fc,https://huggingface.co/litert-community/LFM2.5-Embedding-350M/resolve/main/LFM2.5-Embedding-350M_wi8fc.tflite,1x512:int32;1x512:int32,other,multi-signature model (4 subgraphs); harness runs subgraph 0
lfm2.5-encoder-230m__lfm2.5-encoder-230m_fp16,https://huggingface.co/litert-community/LFM2.5-Encoder-230M/resolve/main/LFM2.5-Encoder-230M_fp16.tflite,1x512:int32;1x512:int32,other,multi-signature model (5 subgraphs); harness runs subgraph 0
lfm2.5-encoder-230m__lfm2.5-encoder-230m_wi8fc,https://huggingface.co/litert-community/LFM2.5-Encoder-230M/resolve/main/LFM2.5-Encoder-230M_wi8fc.tflite,1x512:int32;1x512:int32,other,multi-signature model (5 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m-pii-detector__lfm2.5-encoder-350m-pii-detector_fp16,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-PII-Detector/resolve/main/LFM2.5-Encoder-350M-PII-Detector_fp16.tflite,1x512:int32;1x512:int32,other,multi-signature model (2 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m-pii-detector__lfm2.5-encoder-350m-pii-detector_wi8fc,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-PII-Detector/resolve/main/LFM2.5-Encoder-350M-PII-Detector_wi8fc.tflite,1x512:int32;1x512:int32,other,multi-signature model (2 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m-policy-linter__lfm2.5-encoder-350m-policy-linter_fp16,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-Policy-Linter/resolve/main/LFM2.5-Encoder-350M-Policy-Linter_fp16.tflite,1x512:int32;1x512:int32;1x8x512:float32,other,multi-signature model (2 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m-policy-linter__lfm2.5-encoder-350m-policy-linter_wi8fc,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-Policy-Linter/resolve/main/LFM2.5-Encoder-350M-Policy-Linter_wi8fc.tflite,1x512:int32;1x512:int32;1x8x512:float32,other,multi-signature model (2 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m-prompt-router__lfm2.5-encoder-350m-prompt-router_fp16,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-Prompt-Router/resolve/main/LFM2.5-Encoder-350M-Prompt-Router_fp16.tflite,1x512:int32;1x512:int32;1x1x512:float32;1x8x512:float32,other,multi-signature model (2 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m-prompt-router__lfm2.5-encoder-350m-prompt-router_wi8fc,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-Prompt-Router/resolve/main/LFM2.5-Encoder-350M-Prompt-Router_wi8fc.tflite,1x512:int32;1x512:int32;1x1x512:float32;1x8x512:float32,other,multi-signature model (2 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m-spellchecker__lfm2.5-encoder-350m-spellchecker_fp16,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-Spellchecker/resolve/main/LFM2.5-Encoder-350M-Spellchecker_fp16.tflite,1x128:int32;1x128:int32,other,
lfm2.5-encoder-350m-spellchecker__lfm2.5-encoder-350m-spellchecker_wi8fc,https://huggingface.co/litert-community/LFM2.5-Encoder-350M-Spellchecker/resolve/main/LFM2.5-Encoder-350M-Spellchecker_wi8fc.tflite,1x128:int32;1x128:int32,other,
lfm2.5-encoder-350m__lfm2.5-encoder-350m_fp16,https://huggingface.co/litert-community/LFM2.5-Encoder-350M/resolve/main/LFM2.5-Encoder-350M_fp16.tflite,1x512:int32;1x512:int32,other,multi-signature model (5 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m__lfm2.5-encoder-350m_wi8fc,https://huggingface.co/litert-community/LFM2.5-Encoder-350M/resolve/main/LFM2.5-Encoder-350M_wi8fc.tflite,1x512:int32;1x512:int32,other,multi-signature model (5 subgraphs); harness runs subgraph 0
lfm2.5-encoder-350m__lfm2.5-encoder-350m_wi8fc_single-sig,https://huggingface.co/litert-community/LFM2.5-Encoder-350M/resolve/main/LFM2.5-Encoder-350M_wi8fc_single-sig.tflite,1x512:int32;1x512:int32,other,single-signature (encode_512 only) phone-GPU variant added 2026-08-13; rank-4 repeat_kv re-export
moge-2,https://huggingface.co/litert-community/MoGe-2-LiteRT/resolve/main/moge.tflite,1x3x448x448:float32,mit,
pe-core-base-patch16-224,https://huggingface.co/litert-community/PE-Core-base-patch16-224/resolve/main/pe_core_base_224_fp16.tflite,1x3x224x224:float32,apache-2.0,
qwen3-tts-12hz-0.6b-base__codec_decoder_fp32,https://huggingface.co/litert-community/Qwen3-TTS-12Hz-0.6B-Base/resolve/main/codec_decoder_fp32.tflite,1x16x64:int32,apache-2.0,
qwen3-tts-12hz-0.6b-base__codec_parta,https://huggingface.co/litert-community/Qwen3-TTS-12Hz-0.6B-Base/resolve/main/codec_partA.tflite,1x16x64:int32,apache-2.0,
qwen3-tts-12hz-0.6b-base__codec_partb,https://huggingface.co/litert-community/Qwen3-TTS-12Hz-0.6B-Base/resolve/main/codec_partB.tflite,1x1024x64:float32,apache-2.0,
qwen3-tts-12hz-0.6b-base__mtp_folded_int8,https://huggingface.co/litert-community/Qwen3-TTS-12Hz-0.6B-Base/resolve/main/mtp_folded_int8.tflite,1x1x1024:float32;1x1x1024:float32;15x2048:float32,apache-2.0,
qwen3-tts-12hz-0.6b-base__mtp_fp32,https://huggingface.co/litert-community/Qwen3-TTS-12Hz-0.6B-Base/resolve/main/mtp_fp32.tflite,1x1x1024:float32;1:int32;1x1x1x17:float32;5x1x8x17x128:float32;5x1x8x17x128:float32,apache-2.0,
qwen3-tts-12hz-0.6b-base__talker_fp32,https://huggingface.co/litert-community/Qwen3-TTS-12Hz-0.6B-Base/resolve/main/talker_fp32.tflite,1x32x1024:float32;32:int32;1x1x32x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32,apache-2.0,multi-signature model (336 subgraphs); harness runs subgraph 0; browser sweep excluded: OOMs the sweep runner even alone at a 12 GB Node heap (2026-08-13); NOT a size limit - the 0.26 GB int4 sibling fails identically — so it is this graph
qwen3-tts-12hz-0.6b-base__talker_int4,https://huggingface.co/litert-community/Qwen3-TTS-12Hz-0.6B-Base/resolve/main/talker_int4.tflite,1x32x1024:float32;32:int32;1x1x32x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32;1x8x1024x128:float32;1x8x128x1024:float32,apache-2.0,multi-signature model (336 subgraphs); harness runs subgraph 0; browser sweep excluded: OOMs the sweep runner alone at a 12 GB Node heap despite being 0.26 GB (2026-08-13); same failure as the fp32 sibling — so it is the talker graph rather than the artifact size
sam2.1-hiera-tiny-mask-decoder__sam2_tiny_mask_decoder_fp16,https://huggingface.co/litert-community/SAM2.1-Hiera-Tiny-Mask-Decoder/resolve/main/sam2_tiny_mask_decoder_fp16.tflite,1x256x64x64:float32;1x2x256:float32;1x64x128x128:float32;1x32x256x256:float32,apache-2.0,
sam2.1-hiera-tiny-mask-decoder__sam2_tiny_mask_decoder_v2_fp16,https://huggingface.co/litert-community/SAM2.1-Hiera-Tiny-Mask-Decoder/resolve/main/sam2_tiny_mask_decoder_v2_fp16.tflite,1x256x64x64:float32;1x2x256:float32;1x64x128x128:float32;1x32x256x256:float32,apache-2.0,
siglip2-base-patch16-224,https://huggingface.co/litert-community/SigLIP2-base-patch16-224/resolve/main/siglip2_base_224_fp16.tflite,1x3x224x224:float32,apache-2.0,
lfm2.5-colbert-350m__lfm2.5-colbert-350m_fp16,https://huggingface.co/litert-community/LFM2.5-ColBERT-350M/resolve/main/LFM2.5-ColBERT-350M_fp16.tflite,1x512:int32;1x512:int32,other,multi-signature model (4 subgraphs); harness runs subgraph 0
lfm2.5-colbert-350m__lfm2.5-colbert-350m_wi8fc,https://huggingface.co/litert-community/LFM2.5-ColBERT-350M/resolve/main/LFM2.5-ColBERT-350M_wi8fc.tflite,1x512:int32;1x512:int32,other,multi-signature model (4 subgraphs); harness runs subgraph 0
parakeet-tdt_ctc-0.6b-ja__parakeet_tdt_ctc_0.6b_ja_5s_i8,https://huggingface.co/litert-community/parakeet-tdt_ctc-0.6b-ja/resolve/main/parakeet_tdt_ctc_0.6b_ja_5s_i8.tflite,1x80x500:float32,cc-by-4.0,multi-signature model (122 subgraphs); harness runs subgraph 0 (encode)
parakeet-tdt_ctc-0.6b-ja__parakeet_tdt_ctc_0.6b_ja_5s_f32,https://huggingface.co/litert-community/parakeet-tdt_ctc-0.6b-ja/resolve/main/parakeet_tdt_ctc_0.6b_ja_5s_f32.tflite,1x80x500:float32,cc-by-4.0,multi-signature model (122 subgraphs); harness runs subgraph 0 (encode); largest catalog artifact (2.4 GB); 2.39 GB artifact: the cache path falls back to a direct fetch — so sweep it alone (2026-08-13 it swept fine as a single-model run)
parakeet-tdt_ctc-0.6b-ja__parakeet_tdt_ctc_0.6b_ja_5s_i8_stateful,https://huggingface.co/litert-community/parakeet-tdt_ctc-0.6b-ja/resolve/main/parakeet_tdt_ctc_0.6b_ja_5s_i8_stateful.tflite,1x80x500:float32,cc-by-4.0,multi-signature model (123 subgraphs); harness runs subgraph 0 (encode)
